DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 enhanced_f2_4_x-c1319_n28_snr_5.wav	 2.369	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n29_snr_0.wav	 1.220	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n29_snr_0.wav	 2.097	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n29_snr_10.wav	 2.283	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n29_snr_10.wav	 2.596	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n29_snr_15.wav	 2.581	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n29_snr_15.wav	 2.820	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n29_snr_5.wav	 1.984	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n29_snr_5.wav	 2.357	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n68_snr_0.wav	 1.312	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n68_snr_0.wav	 1.891	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n68_snr_10.wav	 1.980	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n68_snr_10.wav	 2.468	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n68_snr_15.wav	 2.352	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n68_snr_15.wav	 2.683	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n68_snr_5.wav	 1.656	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n68_snr_5.wav	 2.205	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n69_snr_0.wav	 1.459	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n69_snr_0.wav	 1.831	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n69_snr_10.wav	 1.884	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n69_snr_10.wav	 2.307	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n69_snr_15.wav	 2.217	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n69_snr_15.wav	 2.544	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n69_snr_5.wav	 1.610	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n69_snr_5.wav	 2.057	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n77_snr_0.wav	 3.183	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n77_snr_0.wav	 1.671	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n77_snr_10.wav	 2.127	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n77_snr_10.wav	 2.330	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n77_snr_15.wav	 2.455	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n77_snr_15.wav	 2.676	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n77_snr_5.wav	 1.870	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n77_snr_5.wav	 1.983	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n78_snr_0.wav	 1.358	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n78_snr_0.wav	 1.805	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c1319_n78_snr_10.wav	 2.244	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c1319_n78_snr_10.wav	 2.418	 0.000	 0	 16000	0.0000
