speaker file snr pesq_noisy pesq_enhanced
1 f2_4_x-c1956_n29_snr_10 10 2.215000 2.676000
1 f2_4_x-c1956_n29_snr_15 15 2.497000 2.909000
1 f2_4_x-c1956_n29_snr_5 5 1.960000 2.434000
1 f2_4_x-c1956_n68_snr_0 0 1.512000 1.954000
1 f2_4_x-c1956_n68_snr_10 10 2.050000 2.576000
1 f2_4_x-c1956_n68_snr_15 15 2.424000 2.824000
1 f2_4_x-c1956_n68_snr_5 5 1.715000 2.273000
1 f2_4_x-c1956_n69_snr_0 0 1.427000 1.932000
1 f2_4_x-c1956_n69_snr_10 10 2.008000 2.493000
1 f2_4_x-c1956_n69_snr_15 15 2.388000 2.752000
1 f2_4_x-c1956_n69_snr_5 5 1.692000 2.220000
1 f2_4_x-c1956_n77_snr_0 0 1.810000 1.820000
1 f2_4_x-c1956_n77_snr_10 10 2.334000 2.506000
1 f2_4_x-c1956_n77_snr_15 15 2.676000 2.838000
1 f2_4_x-c1956_n77_snr_5 5 2.035000 2.189000
1 f2_4_x-c1956_n78_snr_0 0 1.793000 1.809000
1 f2_4_x-c1956_n78_snr_10 10 2.345000 2.491000
1 f2_4_x-c1956_n78_snr_15 15 2.671000 2.806000
1 f2_4_x-c1956_n78_snr_5 5 2.044000 2.193000
1 f2_4_x-c1956_STATION_ch01_snr_0 0 1.677000 2.126000
1 f2_4_x-c1956_STATION_ch01_snr_10 10 2.495000 2.798000
1 f2_4_x-c1956_STATION_ch01_snr_15 15 2.835000 3.053000
1 f2_4_x-c1956_STATION_ch01_snr_5 5 2.088000 2.514000
1 f2_4_x-c1956_STO_16k_ch01_snr_0 0 1.525000 1.969000
1 f2_4_x-c1956_STO_16k_ch01_snr_10 10 2.322000 2.684000
1 f2_4_x-c1956_STO_16k_ch01_snr_15 15 2.699000 2.933000
1 f2_4_x-c1956_STO_16k_ch01_snr_5 5 1.880000 2.350000
1 f2_4_x-c1956_TER_16k_ch01_snr_0 0 1.902000 2.276000
1 f2_4_x-c1956_TER_16k_ch01_snr_10 10 2.649000 2.938000
1 f2_4_x-c1956_TER_16k_ch01_snr_15 15 3.001000 3.184000
1 f2_4_x-c1956_TER_16k_ch01_snr_5 5 2.263000 2.620000
1 f2_4_x-c1956_WAY_16k_ch01_snr_0 0 3.054000 3.251000
1 f2_4_x-c1956_WAY_16k_ch01_snr_10 10 3.575000 3.412000
1 f2_4_x-c1956_WAY_16k_ch01_snr_15 15 3.744000 3.413000
1 f2_4_x-c1956_WAY_16k_ch01_snr_5 5 3.322000 3.364000
1 f2_4_x-c2025_ARK_16k_ch01_snr_0 0 2.265000 2.730000
1 f2_4_x-c2025_ARK_16k_ch01_snr_10 10 3.033000 3.131000
1 f2_4_x-c2025_ARK_16k_ch01_snr_15 15 3.312000 3.196000
1 f2_4_x-c2025_ARK_16k_ch01_snr_5 5 2.694000 2.984000
1 f2_4_x-c2025_CAR_16k_ch01_snr_0 0 3.327000 3.206000
1 f2_4_x-c2025_CAR_16k_ch01_snr_10 10 3.878000 3.255000
1 f2_4_x-c2025_CAR_16k_ch01_snr_15 15 4.047000 3.255000
1 f2_4_x-c2025_CAR_16k_ch01_snr_5 5 3.609000 3.234000
1 f2_4_x-c2025_HEN_16k.ch01_snr_0 0 2.140000 2.560000
1 f2_4_x-c2025_HEN_16k.ch01_snr_10 10 2.914000 3.011000
1 f2_4_x-c2025_HEN_16k.ch01_snr_15 15 3.240000 3.169000
1 f2_4_x-c2025_HEN_16k.ch01_snr_5 5 2.539000 2.806000
1 f2_4_x-c2025_ING_16k_ch01_snr_0 0 1.959000 2.040000
1 f2_4_x-c2025_ING_16k_ch01_snr_10 10 2.774000 2.778000
1 f2_4_x-c2025_ING_16k_ch01_snr_15 15 3.130000 3.022000
1 f2_4_x-c2025_ING_16k_ch01_snr_5 5 2.379000 2.449000
1 f2_4_x-c2025_n16_snr_0 0 1.602000 1.784000
1 f2_4_x-c2025_n16_snr_10 10 2.018000 2.397000
1 f2_4_x-c2025_n16_snr_15 15 2.349000 2.694000
1 f2_4_x-c2025_n16_snr_5 5 1.771000 2.076000
1 f2_4_x-c2025_n17_snr_0 0 1.426000 1.692000
1 f2_4_x-c2025_n17_snr_10 10 1.881000 2.316000
1 f2_4_x-c2025_n17_snr_15 15 2.225000 2.591000
1 f2_4_x-c2025_n17_snr_5 5 1.615000 2.022000
1 f2_4_x-c2025_n28_snr_0 0 1.679000 1.881000
1 f2_4_x-c2025_n28_snr_10 10 2.151000 2.540000
1 f2_4_x-c2025_n28_snr_15 15 2.497000 2.800000
1 f2_4_x-c2025_n28_snr_5 5 1.874000 2.246000
1 f2_4_x-c2025_n29_snr_0 0 1.368000 2.014000
1 f2_4_x-c2025_n29_snr_10 10 2.083000 2.654000
1 f2_4_x-c2025_n29_snr_15 15 2.444000 2.902000
1 f2_4_x-c2025_n29_snr_5 5 1.724000 2.370000
1 f2_4_x-c2025_n68_snr_0 0 1.303000 1.777000
1 f2_4_x-c2025_n68_snr_10 10 1.910000 2.468000
1 f2_4_x-c2025_n68_snr_15 15 2.309000 2.705000
1 f2_4_x-c2025_n68_snr_5 5 1.573000 2.137000
1 f2_4_x-c2025_n69_snr_0 0 1.384000 1.828000
1 f2_4_x-c2025_n69_snr_10 10 1.890000 2.386000
1 f2_4_x-c2025_n69_snr_15 15 2.254000 2.647000
1 f2_4_x-c2025_n69_snr_5 5 1.598000 2.122000
1 f2_4_x-c2025_n77_snr_0 0 1.528000 1.519000
1 f2_4_x-c2025_n77_snr_10 10 2.089000 2.255000
1 f2_4_x-c2025_n77_snr_15 15 2.441000 2.650000
1 f2_4_x-c2025_n77_snr_5 5 1.774000 1.862000
1 f2_4_x-c2025_n78_snr_0 0 1.580000 1.614000
1 f2_4_x-c2025_n78_snr_10 10 2.140000 2.307000
1 f2_4_x-c2025_n78_snr_15 15 2.485000 2.649000
1 f2_4_x-c2025_n78_snr_5 5 1.836000 1.941000
1 f2_4_x-c2025_STATION_ch01_snr_0 0 1.469000 1.935000
1 f2_4_x-c2025_STATION_ch01_snr_10 10 2.341000 2.681000
1 f2_4_x-c2025_STATION_ch01_snr_15 15 2.721000 2.975000
1 f2_4_x-c2025_STATION_ch01_snr_5 5 1.900000 2.355000
1 f2_4_x-c2025_STO_16k_ch01_snr_0 0 1.271000 1.687000
1 f2_4_x-c2025_STO_16k_ch01_snr_10 10 2.063000 2.455000
1 f2_4_x-c2025_STO_16k_ch01_snr_15 15 2.505000 2.771000
1 f2_4_x-c2025_STO_16k_ch01_snr_5 5 1.641000 2.096000
1 f2_4_x-c2025_TER_16k_ch01_snr_0 0 1.629000 1.997000
1 f2_4_x-c2025_TER_16k_ch01_snr_10 10 2.410000 2.726000
1 f2_4_x-c2025_TER_16k_ch01_snr_15 15 2.773000 3.012000
1 f2_4_x-c2025_TER_16k_ch01_snr_5 5 1.999000 2.374000
1 f2_4_x-c2025_WAY_16k_ch01_snr_0 0 3.005000 3.066000
1 f2_4_x-c2025_WAY_16k_ch01_snr_10 10 3.484000 3.216000
1 f2_4_x-c2025_WAY_16k_ch01_snr_15 15 3.663000 3.251000
1 f2_4_x-c2025_WAY_16k_ch01_snr_5 5 3.251000 3.169000
1 f2_4_x-c2161_ARK_16k_ch01_snr_0 0 2.172000 2.731000
1 f2_4_x-c2161_ARK_16k_ch01_snr_10 10 2.885000 3.237000
1 f2_4_x-c2161_ARK_16k_ch01_snr_15 15 3.149000 3.409000
1 f2_4_x-c2161_ARK_16k_ch01_snr_5 5 2.544000 3.006000
1 f2_4_x-c2161_CAR_16k_ch01_snr_0 0 3.219000 3.376000
