speaker file snr pesq_noisy pesq_enhanced
1 f2_4_x-c1956_STATION_ch01_snr_5 5 2.088000 2.475000
1 f2_4_x-c1956_STO_16k_ch01_snr_0 0 1.525000 1.973000
1 f2_4_x-c1956_STO_16k_ch01_snr_10 10 2.322000 2.613000
1 f2_4_x-c1956_STO_16k_ch01_snr_15 15 2.699000 2.809000
1 f2_4_x-c1956_STO_16k_ch01_snr_5 5 1.880000 2.351000
1 f2_4_x-c1956_TER_16k_ch01_snr_0 0 1.902000 2.279000
1 f2_4_x-c1956_TER_16k_ch01_snr_10 10 2.649000 2.819000
1 f2_4_x-c1956_TER_16k_ch01_snr_15 15 3.001000 3.011000
1 f2_4_x-c1956_TER_16k_ch01_snr_5 5 2.263000 2.592000
1 f2_4_x-c1956_WAY_16k_ch01_snr_0 0 3.054000 3.069000
1 f2_4_x-c1956_WAY_16k_ch01_snr_10 10 3.575000 3.194000
1 f2_4_x-c1956_WAY_16k_ch01_snr_15 15 3.744000 3.197000
1 f2_4_x-c1956_WAY_16k_ch01_snr_5 5 3.322000 3.159000
1 f2_4_x-c2025_ARK_16k_ch01_snr_0 0 2.265000 2.693000
1 f2_4_x-c2025_ARK_16k_ch01_snr_10 10 3.033000 3.061000
1 f2_4_x-c2025_ARK_16k_ch01_snr_15 15 3.312000 3.139000
1 f2_4_x-c2025_ARK_16k_ch01_snr_5 5 2.694000 2.909000
1 f2_4_x-c2025_CAR_16k_ch01_snr_0 0 3.327000 3.150000
1 f2_4_x-c2025_CAR_16k_ch01_snr_10 10 3.878000 3.214000
1 f2_4_x-c2025_CAR_16k_ch01_snr_15 15 4.047000 3.211000
1 f2_4_x-c2025_CAR_16k_ch01_snr_5 5 3.609000 3.203000
1 f2_4_x-c2025_HEN_16k.ch01_snr_0 0 2.140000 2.554000
1 f2_4_x-c2025_HEN_16k.ch01_snr_10 10 2.914000 3.035000
1 f2_4_x-c2025_HEN_16k.ch01_snr_15 15 3.240000 3.133000
1 f2_4_x-c2025_HEN_16k.ch01_snr_5 5 2.539000 2.823000
1 f2_4_x-c2025_ING_16k_ch01_snr_0 0 1.959000 2.037000
1 f2_4_x-c2025_ING_16k_ch01_snr_10 10 2.774000 2.792000
1 f2_4_x-c2025_ING_16k_ch01_snr_15 15 3.130000 2.978000
1 f2_4_x-c2025_ING_16k_ch01_snr_5 5 2.379000 2.447000
1 f2_4_x-c2025_n16_snr_0 0 1.602000 1.709000
